iter	Passed	Remaining
0	4	4540
1	8	4432
2	12	4285
3	16	4064
4	20	4039
5	24	4052
6	30	4308
7	34	4243
8	38	4231
9	42	4204
10	46	4167
11	50	4161
12	54	4139
13	58	4131
14	61	4039
15	64	3955
16	67	3902
17	71	3908
18	75	3892
19	78	3857
20	81	3818
21	85	3794
22	88	3770
23	92	3748
24	95	3738
25	99	3723
26	103	3721
27	106	3696
28	108	3643
29	112	3625
30	115	3622
31	119	3617
32	123	3613
33	127	3609
34	131	3619
35	134	3611
36	137	3591
37	141	3575
38	144	3566
39	148	3561
40	151	3550
41	154	3531
42	158	3519
43	161	3501
44	163	3473
45	166	3459
46	168	3422
47	172	3411
48	175	3407
49	179	3419
50	183	3413
51	186	3407
52	190	3398
53	193	3398
54	197	3387
55	200	3380
56	203	3372
57	207	3362
58	210	3356
59	214	3354
60	217	3352
61	221	3344
62	226	3363
63	229	3359
64	233	3353
65	237	3354
66	239	3338
67	242	3329
68	246	3326
69	249	3319
70	253	3317
71	258	3325
72	261	3321
73	265	3319
74	269	3321
75	273	3326
76	277	3323
77	280	3319
78	285	3323
79	288	3315
80	291	3311
81	295	3307
82	299	3307
83	302	3300
84	306	3296
85	309	3291
86	313	3286
87	316	3279
88	319	3271
89	323	3265
90	326	3258
91	330	3257
92	332	3247
93	335	3238
94	339	3231
95	343	3230
96	346	3224
97	349	3218
98	352	3211
99	356	3205
100	360	3208
101	363	3204
102	367	3201
103	371	3197
104	375	3198
105	378	3192
106	382	3191
107	385	3186
108	388	3178
109	392	3174
110	395	3168
111	398	3161
112	402	3155
113	405	3150
114	408	3143
115	411	3139
116	415	3134
117	418	3129
118	422	3125
119	424	3111
120	427	3106
121	431	3102
122	434	3098
123	437	3093
124	441	3091
125	445	3087
126	448	3085
127	452	3083
128	456	3079
129	459	3076
130	463	3076
131	469	3085
132	473	3084
133	476	3080
134	480	3080
135	484	3077
136	488	3075
137	491	3070
138	494	3066
139	498	3061
140	501	3057
141	505	3052
142	508	3046
143	511	3041
144	515	3037
145	518	3034
146	522	3030
147	525	3023
148	528	3017
149	531	3012
150	535	3008
151	538	3006
152	542	3005
153	546	2999
154	549	2993
155	552	2990
156	556	2986
157	559	2981
158	562	2975
159	566	2972
160	569	2968
161	573	2968
162	577	2964
163	581	2962
164	586	2968
165	589	2962
166	592	2957
167	596	2954
168	600	2952
169	604	2949
170	607	2945
171	611	2942
172	614	2937
173	618	2937
174	622	2933
175	625	2930
176	629	2926
177	632	2920
178	635	2915
179	638	2910
180	642	2905
181	645	2899
182	649	2898
183	652	2894
184	655	2888
185	658	2883
186	662	2880
187	666	2877
188	669	2874
189	673	2869
190	676	2865
191	680	2863
192	683	2859
193	687	2856
194	691	2853
195	695	2853
196	699	2852
197	703	2850
198	707	2846
199	710	2843
200	714	2841
201	719	2841
202	723	2838
203	726	2836
204	730	2833
205	734	2830
206	738	2829
207	742	2826
208	746	2823
209	749	2820
210	753	2818
211	758	2818
212	762	2816
213	765	2813
214	769	2811
215	773	2808
216	777	2806
217	781	2803
218	785	2800
